,lat,lon,name
5320,76.2525658509434,99.3168547019012,5320
5360,74.5,111.0,5360
5400,70.75,131.25,5400
5420,72.5,141.17,5420
5440,70.565056462805,159.753784767042,5440
5460,69.58,168.25,5460
5480,67.83,184.17,5480
5500,64.75,184.92,5500
5520,63.0,179.25,5520
5540,59.75,166.17,5540
5560,55.67,161.58,5560
5580,53.33,156.0,5580
5620,61.7904706487975,160.12169214681,5620
5640,59.1034858081194,154.291918455511,5640
5660,59.33,144.67,5660
5680,54.17,136.67,5680
5700,52.42,141.08,5700
5720,43.92,135.5,5720
5740,39.92,127.83,5740
5780,36.92,126.17,5780
5800,39.5,121.33,5800
5820,37.33,118.92,5820
5860,30.42,120.92,5860
5880,25.58,119.42,5880
5900,21.83,112.5,5900
5920,20.25,106.42,5920
5940,11.42,109.0,5940
5960,10.2075711674255,104.625049930983,5960
5980,10.25,99.17,5980
6000,2.58,103.75,6000
6020,7.83,99.08,6020
6040,16.92,96.92,6040
6060,20.67,92.5,6060
6080,20.33,86.75,6080
6100,15.0,80.08,6100
6120,9.0,76.5,6120
6140,18.67,72.83,6140
6160,22.42,70.17,6160
6180,25.25,62.92,6180
6200,26.92,53.5,6200
6220,27.83,48.83,6220
6240,24.17,53.25,6240
6260,22.42,59.83,6260
6280,17.0,54.42,6280
6300,13.33,46.08,6300
6320,19.17,41.0,6320
6380,42.08,27.92,6380
6400,40.92,38.17,6400
6420,45.08,37.0,6420
6440,46.58,30.83,6440
6500,61.67,36.0,6500
6520,-18.0,44.0,6520
6540,-13.0,49.83,6540
6560,-21.75,48.08,6560
6580,-21.92,43.25,6580
6600,12.25,53.67,6600
6620,12.7509134105868,92.914330048594,6620
6640,1.33,97.25,6640
6660,9.0,80.92,6660
6680,19.67,111.0,6680
6700,22.58,121.0,6700
6720,31.67,130.17,6720
6740,33.33,133.25,6740
6760,37.25,136.75,6760
6780,41.17,140.75,6780
6800,34.92,139.75,6800
6840,45.17,142.33,6840
6880,26.1224784272633,127.792724706209,6880
6900,45.5,148.83,6900
6960,48.75,142.83,6960
7000,70.9690345551122,181.262993477608,7000
7020,75.33,149.25,7020
7060,81.0,96.42,7060
7100,72.5000391012074,52.6261762942193,7100
7140,74.58,59.83,7140
7180,81.2686854929056,64.7424302831953,7180
7240,80.55,44.5,7240
7260,80.5,20.0,7260
7320,59.2120648219004,-3.15674380221521,7320
7400,52.0177769001319,-4.72811725334462,7400
7420,55.0651283348393,-4.97861561400311,7420
7440,57.42,-5.83,7440
7480,50.67,-0.67,7480
7540,39.17,9.5,7540
7580,37.0,21.5,7580
7600,35.0,32.25,7600
7640,38.6004044822847,25.8130822631503,7640
7660,37.7880436033691,-25.1679281544546,7660
7700,-33.5,115.58,7700
7720,-26.08,113.75,7720
7740,-20.67,117.75,7740
7760,-16.17,123.75,7760
7780,-13.67,129.92,7780
7800,-11.92,133.5,7800
7820,-16.58,138.08,7820
7840,-11.25,142.08,7840
7860,-18.33,146.08,7860
7880,-24.58,152.17,7880
7900,-33.42,151.5,7900
7920,-38.25,145.5,7920
7940,-35.67,138.17,7940
7980,-32.08,128.0,7980
8000,-35.0,118.33,8000
8040,-43.5,146.25,8040
8060,-37.7053778066973,177.737062876409,8060
8080,-40.5968077518065,175.121887534503,8080
8100,-36.3185421108039,174.106785628447,8100
8180,-46.25,170.17,8180
8200,4.92,98.0,8200
8220,-1.0,104.42,8220
8240,-3.83,102.42,8240
8280,-6.58,111.33,8280
8300,-7.67,109.0,8300
8320,-8.14112393707432,117.78201565897,8320
8380,-8.65237824075205,121.572101915315,8380
8420,-8.42,124.33,8420
8460,-7.08,131.58,8460
8500,1.0,108.92,8500
8520,6.58,116.67,8520
8540,0.83,118.42,8540
8560,-3.33,112.33,8560
8600,0.33,123.5,8600
8620,-1.67,122.08,8620
8660,2.17,128.0,8660
8680,-3.25,126.0,8680
8720,-0.25,131.25,8720
8740,-2.33,134.17,8740
8760,-3.33,143.0,8760
8780,-9.08,148.58,8780
8840,-4.58,136.17,8840
8880,17.1650503597482,122.417613792146,8880
8900,12.83,123.83,8900
8920,8.92,117.5,8920
8940,12.5,120.92,8940
8980,10.58,124.0,8980
9020,8.25,126.33,9020
9040,7.42,123.25,9040
9060,-5.58,152.0,9060
9100,-5.5,155.08,9100
9120,-8.2924635081738,157.462360681115,9120
9140,-8.57258054981554,160.667803074198,9140
9180,-20.75,165.33,9180
9200,-18.0,177.33,9200
9220,-17.53,-149.33,9220
9240,21.0424385030412,-156.857545274522,9240
9260,19.27,-155.3,9260
