name,lat,lon,name2,coast
134,33.475833,135.773333,KUSHIMOTO,642
1090,33.558333,135.896389,URAGAMI,642
1060,34.067222,139.480833,MIYAKE SIMA,642
1146,34.076389,136.207222,OWASE,642
1061,34.209167,139.131667,KOZU SIMA,642
1263,34.608333,138.222222,OMAEZAKI II,642
1089,34.681944,137.608889,MAISAKA,642
1091,34.789444,139.391389,OKADA,642
1026,34.903889,136.823611,ONISAKI,642
359,34.918889,139.825,MERA,642
808,35.011667,138.5175,SHIMIZU-MINATO,642
407,35.017222,138.890278,UCHIURA,642
1488,35.091389,136.880833,NAGOYA II,642
130,35.160278,139.615278,ABURATSUBO,642
722,35.288056,139.651389,YOKOSUKA,642
1545,35.648611,139.77,TOKYO III,642
1544,35.744444,140.858333,CHOSHI-GYOKO,642
635,36.9375,140.891944,ONAHAMA,642
1150,33.683611,135.375278,SHIRAHAMA,643
1210,34.040833,131.802778,TOKUYAMA II,643
701,34.144167,135.191389,KAINAN,643
816,34.221667,135.145556,WAKAYAMA,643
1209,34.240556,132.550278,KURE IV,643
817,34.338889,135.178056,TAN-NOWA,643
1098,34.340556,134.906667,SUMOTO,643
1028,34.353056,132.464722,HIROSIMA,643
812,34.488611,133.949444,UNO,643
1099,34.658056,135.432778,OSAKA,643
1790,34.682222,135.190278,KOBE II,643
815,32.779167,132.958889,TOSA SHIMIZU,644
1212,33.227222,132.551111,UWAJIMA II,644
1390,33.266389,134.164444,MUROTOMISAKI,644
1320,33.333611,133.243333,KURE I,644
1062,33.858889,132.712222,MATSUYAMA II,644
809,34.009167,134.587778,KOMATSUSHIMA,644
1789,34.351389,134.056944,TAKAMATSU II,644
1096,30.735,130.992222,NISINOOMOTE,645
1097,31.023611,130.689167,ODOMARI,645
814,31.576944,131.409444,ABURATSU,645
1265,32.0175,130.190833,AKUNE,645
1386,32.605278,130.195278,KUCHINOTSU,645
1101,32.696111,128.849444,FUKUE,645
1100,32.735,129.866111,NAGASAKI,645
